Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo Chennai Warehouse_2,Zolo Helena,"No. 3/301,Madhakoil Street,Okkiyam. Thoraipakkam,â€“ ,Chennai - 600096",Chennai,Tamil Nadu,"12.9256757, 80.2313511","13.0675449, 80.1491821",12.9256757,80.2313511,13.0675449,80.1491821,18.05
Zolo BLR_Singasandra WH,Zolo Sumuk,"Beaing No 978, Gajanana Sumuk, Whitefield Road, Mahadevapura, Bengaluru, Bengaluru Urban, Karnataka, 560048",Bangalore,Karnataka,"12.9921703, 77.7184946","12.8903965, 77.6273899",12.9921703,77.7184946,12.8903965,77.6273899,14.98
Zolo BLR_Singasandra WH,Zolo Forza,"Service Rd, Vyalikaval HBCS Layout, Nagavara, Bengaluru, Karnataka 560045-Bangalore",Bangalore,Karnataka,"13.0411549, 77.6179911","12.8903965, 77.6273899",13.0411549,77.6179911,12.8903965,77.6273899,16.71
Zolo Chennai Warehouse_2,Zolo Quintain,"Manimegalai Nagar,1st Cross St,Karappakam,Tamil Nadu,Chennai - 600097",Chennai,Tamil Nadu,"12.9199636, 80.2265479","13.0675449, 80.1491821",12.9199636,80.2265479,13.0675449,80.1491821,18.36
Zolo BLR_Singasandra WH,Zolo Lumiere,"250,2nd Cross Road,Electronics Phase 1,Electronic ,Karnataka ,Bangalore - 560100",Bangalore,Karnataka,"12.838137, 77.6503527","12.8903965, 77.6273899",12.838137,77.6503527,12.8903965,77.6273899,6.3
Zolo Pune Warehouse_New,Zolo Caster,"Phase 1,Hinjewadi Rajiv Gandhi Infotech Park,Hinjawadi,Maharashtra ,Pune - 411057",Pune,Maharashtra,"18.5904779, 73.7271909","18.6124747, 73.71542149999999",18.5904779,73.7271909,18.6124747,73.7154215,2.73
Zolo Chennai Warehouse_2,Zolo Greenhills,"365/4B,NGO nagar extension road,Nedungundram New Perungalathur,Tamil Nadu,Chennai - 600063",Chennai,Tamil Nadu,"12.8893218, 80.1091642","13.0675449, 80.1491821",12.8893218,80.1091642,13.0675449,80.1491821,20.19
Zolo Chennai Warehouse_2,Zolo Prime,"No 32 and 33,Annai Indira nagar Main Road,Indira Nagar,Thoraipakkam,Tamil Nadu,Chennai - 600097",Chennai,Tamil Nadu,"12.929345, 80.2323388","13.0675449, 80.1491821",12.929345,80.2323388,13.0675449,80.1491821,17.75
Zolo Chennai Warehouse_2,Zolo Metropolis,"GST Road, Maraimalai Nagar, Thirukachur, Tamil Nadu 603209-Chennai",Chennai,Tamil Nadu,"12.7873764, 80.0155115","13.0675449, 80.1491821",12.7873764,80.0155115,13.0675449,80.1491821,34.22
Zolo Chennai Warehouse_2,Zolo Bluemen,"Das Main Road Padmavathi nagar,iyyapanthangal,Chennai - 600077",Chennai,Tamil Nadu,"13.0457187, 80.1394265","13.0675449, 80.1491821",13.0457187,80.1394265,13.0675449,80.1491821,2.64
Zolo BLR_Singasandra WH,Zolo Paradise,"Bearing No 214/A Block No II, 6th Cross Road, RMV Stage 2, Bengaluru, Bengaluru Urban,Karnataka, 560094",Bangalore,Karnataka,"13.0305723, 77.5793708","12.8903965, 77.6273899",13.0305723,77.5793708,12.8903965,77.6273899,16.36
Zolo Pune Warehouse_New,Zolo Raga,"Omkar Raga Flat no B-106 B wing Off Eastern Express Highway, Shell Colony Rd, Chembur East, Mumbai, Maharashtra 400071",Mumbai,Maharashtra,"19.192289, 72.96130459999999","18.6124747, 73.71542149999999",19.192289,72.9613046,18.6124747,73.7154215,102.13
